@HD	VN:1.6	SO:coordinate
@SQ	SN:Lp_uce-11005138	LN:552
@SQ	SN:Ap_uce-11005138	LN:552
@SQ	SN:Pp_uce-11005138	LN:558
@SQ	SN:Cc_uce-11005138	LN:554
@SQ	SN:Ae_uce-11005138	LN:553
@SQ	SN:Tf_uce-11005138	LN:555
@SQ	SN:Fp_ortho-1110	LN:375
@SQ	SN:Ph_ortho-1110	LN:404
@SQ	SN:Fr_ortho-1110	LN:404
@SQ	SN:Dg_ortho-1110	LN:404
@SQ	SN:Lm_ortho-1110	LN:404
@SQ	SN:Tf_ortho-1110	LN:401
@SQ	SN:Lp_ortho-1110	LN:404
@SQ	SN:Ap_ortho-1110	LN:404
@SQ	SN:Pp_ortho-1110	LN:404
@SQ	SN:Cc_ortho-1110	LN:404
@SQ	SN:Ae_ortho-1110	LN:404
@SQ	SN:Fp_ortho-1186	LN:363
@SQ	SN:Ph_ortho-1186	LN:363
@SQ	SN:Fr_ortho-1186	LN:319
@SQ	SN:Dg_ortho-1186	LN:352
@SQ	SN:Lm_ortho-1186	LN:352
@SQ	SN:Tf_ortho-1186	LN:213
@SQ	SN:Lp_ortho-1186	LN:365
@SQ	SN:Ap_ortho-1186	LN:362
@SQ	SN:Pp_ortho-1186	LN:204
@SQ	SN:Cc_ortho-1186	LN:393
@SQ	SN:Ae_ortho-1186	LN:193
@SQ	SN:Fp_ortho-1245	LN:539
@SQ	SN:Ph_ortho-1245	LN:539
@SQ	SN:Fr_ortho-1245	LN:542
@SQ	SN:Dg_ortho-1245	LN:539
@SQ	SN:Lm_ortho-1245	LN:539
@SQ	SN:Tf_ortho-1245	LN:539
@SQ	SN:Lp_ortho-1245	LN:539
@SQ	SN:Ap_ortho-1245	LN:539
@SQ	SN:Pp_ortho-1245	LN:489
@SQ	SN:Cc_ortho-1245	LN:462
@SQ	SN:Ae_ortho-1245	LN:542
@SQ	SN:Fp_ortho-1288	LN:584
@SQ	SN:Ph_ortho-1288	LN:598
@SQ	SN:Fr_ortho-1288	LN:586
@SQ	SN:Dg_ortho-1288	LN:585
@SQ	SN:Lm_ortho-1288	LN:584
@SQ	SN:Tf_ortho-1288	LN:587
@SQ	SN:Lp_ortho-1288	LN:584
@SQ	SN:Ap_ortho-1288	LN:584
@SQ	SN:Pp_ortho-1288	LN:590
@SQ	SN:Cc_ortho-1288	LN:586
@SQ	SN:Ae_ortho-1288	LN:585
@SQ	SN:Fp_ortho-1318	LN:555
@SQ	SN:Ph_ortho-1318	LN:555
@SQ	SN:Fr_ortho-1318	LN:555
@SQ	SN:Dg_ortho-1318	LN:555
@SQ	SN:Lm_ortho-1318	LN:555
@SQ	SN:Tf_ortho-1318	LN:508
@SQ	SN:Lp_ortho-1318	LN:555
@SQ	SN:Ap_ortho-1318	LN:555
@SQ	SN:Pp_ortho-1318	LN:555
@SQ	SN:Cc_ortho-1318	LN:555
@SQ	SN:Ae_ortho-1318	LN:31
@SQ	SN:Fp_ortho-1347	LN:595
@SQ	SN:Ph_ortho-1347	LN:110
@SQ	SN:Fr_ortho-1347	LN:595
@SQ	SN:Dg_ortho-1347	LN:595
@SQ	SN:Lm_ortho-1347	LN:565
@SQ	SN:Tf_ortho-1347	LN:595
@SQ	SN:Lp_ortho-1347	LN:520
@SQ	SN:Ap_ortho-1347	LN:595
@SQ	SN:Pp_ortho-1347	LN:436
@SQ	SN:Cc_ortho-1347	LN:595
@SQ	SN:Ae_ortho-1347	LN:595
@SQ	SN:Fp_ortho-1375	LN:479
@SQ	SN:Ph_ortho-1375	LN:447
@SQ	SN:Fr_ortho-1375	LN:452
@SQ	SN:Dg_ortho-1375	LN:443
@SQ	SN:Lm_ortho-1375	LN:472
@SQ	SN:Tf_ortho-1375	LN:236
@SQ	SN:Lp_ortho-1375	LN:479
@SQ	SN:Ap_ortho-1375	LN:460
@SQ	SN:Pp_ortho-1375	LN:453
@SQ	SN:Cc_ortho-1375	LN:370
@SQ	SN:Ae_ortho-1375	LN:397
@SQ	SN:Fp_ortho-1455	LN:440
@SQ	SN:Ph_ortho-1455	LN:423
@SQ	SN:Fr_ortho-1455	LN:436
@SQ	SN:Dg_ortho-1455	LN:454
@SQ	SN:Lm_ortho-1455	LN:454
@SQ	SN:Tf_ortho-1455	LN:454
@SQ	SN:Lp_ortho-1455	LN:443
@SQ	SN:Ap_ortho-1455	LN:456
@SQ	SN:Pp_ortho-1455	LN:428
@SQ	SN:Cc_ortho-1455	LN:439
@SQ	SN:Ae_ortho-1455	LN:224
@SQ	SN:Fp_ortho-1542	LN:468
@SQ	SN:Ph_ortho-1542	LN:528
@SQ	SN:Fr_ortho-1542	LN:535
@SQ	SN:Dg_ortho-1542	LN:518
@SQ	SN:Lm_ortho-1542	LN:515
@SQ	SN:Lp_ortho-1542	LN:515
@SQ	SN:Ap_ortho-1542	LN:532
@SQ	SN:Pp_ortho-1542	LN:520
@SQ	SN:Cc_ortho-1542	LN:514
@SQ	SN:Ae_ortho-1542	LN:330
@SQ	SN:Tf_ortho-1542	LN:534
@SQ	SN:Fp_ortho-165	LN:158
@SQ	SN:Ph_ortho-165	LN:593
@SQ	SN:Fr_ortho-165	LN:593
@SQ	SN:Dg_ortho-165	LN:593
@SQ	SN:Lm_ortho-165	LN:593
@SQ	SN:Tf_ortho-165	LN:496
@SQ	SN:Lp_ortho-165	LN:593
@SQ	SN:Ap_ortho-165	LN:593
@SQ	SN:Pp_ortho-165	LN:593
@SQ	SN:Cc_ortho-165	LN:593
@SQ	SN:Ae_ortho-165	LN:593
@SQ	SN:Fp_ortho-283	LN:492
@SQ	SN:Ph_ortho-283	LN:492
@SQ	SN:Fr_ortho-283	LN:492
@SQ	SN:Dg_ortho-283	LN:492
@SQ	SN:Lm_ortho-283	LN:492
@SQ	SN:Tf_ortho-283	LN:454
@SQ	SN:Lp_ortho-283	LN:492
@SQ	SN:Ap_ortho-283	LN:492
@SQ	SN:Pp_ortho-283	LN:471
@SQ	SN:Cc_ortho-283	LN:492
@SQ	SN:Ae_ortho-283	LN:492
@SQ	SN:Fp_ortho-473	LN:488
@SQ	SN:Ph_ortho-473	LN:488
@SQ	SN:Fr_ortho-473	LN:495
@SQ	SN:Dg_ortho-473	LN:491
@SQ	SN:Lm_ortho-473	LN:486
@SQ	SN:Tf_ortho-473	LN:434
@SQ	SN:Lp_ortho-473	LN:482
@SQ	SN:Ap_ortho-473	LN:488
@SQ	SN:Pp_ortho-473	LN:467
@SQ	SN:Cc_ortho-473	LN:476
@SQ	SN:Ae_ortho-473	LN:480
@SQ	SN:Tp_ortho-1019	LN:467
@SQ	SN:Ov_ortho-1019	LN:654
@SQ	SN:Tr_ortho-1019	LN:465
@SQ	SN:Lc_ortho-1019	LN:588
@SQ	SN:Ms_ortho-1019	LN:444
@SQ	SN:Tp_ortho-1031	LN:481
@SQ	SN:Ov_ortho-1031	LN:481
@SQ	SN:Tr_ortho-1031	LN:481
@SQ	SN:Lc_ortho-1031	LN:374
@SQ	SN:Ms_ortho-1031	LN:481
@SQ	SN:Tp_uce-11002271	LN:404
@SQ	SN:Ov_uce-11002271	LN:488
@SQ	SN:Tr_uce-11002271	LN:399
@SQ	SN:Lc_uce-11002271	LN:408
@SQ	SN:Ms_uce-11002271	LN:396
@SQ	SN:Tp_uce-11002469	LN:479
@SQ	SN:Ov_uce-11002469	LN:479
@SQ	SN:Tr_uce-11002469	LN:479
@SQ	SN:Lc_uce-11002469	LN:479
@SQ	SN:Ms_uce-11002469	LN:479
@SQ	SN:Tp_uce-11003324	LN:409
@SQ	SN:Ov_uce-11003324	LN:403
@SQ	SN:Tr_uce-11003324	LN:336
@SQ	SN:Lc_uce-11003324	LN:409
@SQ	SN:Tp_uce-11004576	LN:554
@SQ	SN:Ov_uce-11004576	LN:505
@SQ	SN:Tr_uce-11004576	LN:544
@SQ	SN:Lc_uce-11004576	LN:553
@SQ	SN:Ms_uce-11004576	LN:546
@SQ	SN:Tp_ortho-1262	LN:475
@SQ	SN:Ov_ortho-1262	LN:469
@SQ	SN:Tr_ortho-1262	LN:472
@SQ	SN:Lc_ortho-1262	LN:442
@SQ	SN:Ms_ortho-1262	LN:466
@SQ	SN:Tp_ortho-1348	LN:394
@SQ	SN:Ov_ortho-1348	LN:403
@SQ	SN:Tr_ortho-1348	LN:394
@SQ	SN:Lc_ortho-1348	LN:412
@SQ	SN:Ms_ortho-1348	LN:406
@SQ	SN:Tp_ortho-1352	LN:445
@SQ	SN:Ov_ortho-1352	LN:473
@SQ	SN:Tr_ortho-1352	LN:479
@SQ	SN:Lc_ortho-1352	LN:327
@SQ	SN:Ms_ortho-1352	LN:469
@SQ	SN:Tp_ortho-1390	LN:536
@SQ	SN:Ov_ortho-1390	LN:535
@SQ	SN:Tr_ortho-1390	LN:536
@SQ	SN:Lc_ortho-1390	LN:536
@SQ	SN:Ms_ortho-1390	LN:536
@SQ	SN:Tp_ortho-1519	LN:442
@SQ	SN:Ov_ortho-1519	LN:439
@SQ	SN:Lc_ortho-1519	LN:441
@SQ	SN:Ms_ortho-1519	LN:443
@SQ	SN:Tr_ortho-1519	LN:443
@SQ	SN:Tp_ortho-1520	LN:511
@SQ	SN:Ov_ortho-1520	LN:520
@SQ	SN:Ms_ortho-1520	LN:517
@SQ	SN:Tr_ortho-1520	LN:511
@SQ	SN:Tp_ortho-49	LN:505
@SQ	SN:Ov_ortho-49	LN:348
@SQ	SN:Tr_ortho-49	LN:522
@SQ	SN:Lc_ortho-49	LN:612
@SQ	SN:Ms_ortho-49	LN:436
@PG	ID:minimap2	PN:minimap2	VN:2.17-r941	CL:minimap2 -ax sr /cluster/home/lomiguel/MSAS/refs/msas_refseq.mmi data/CUTADAPT_READS/Mx-AB50-2_S32_L001_R1_001.ca3 data/CUTADAPT_READS/Mx-AB50-2_S32_L001_R2_001.ca3
@PG	ID:samtools	PN:samtools	PP:minimap2	VN:1.15.1	CL:samtools view -Sb -f 2 Mx-AB50-2.sam
@PG	ID:samtools.1	PN:samtools	PP:samtools	VN:1.15.1	CL:samtools sort -
@PG	ID:MarkDuplicates	VN:2.27.5	CL:MarkDuplicates INPUT=[MAPPINGS/BAM/Mx-AB50-2.sorted.bam] OUTPUT=MAPPINGS/MKDUPS/Mx-AB50-2.sorted.mkdups.bam METRICS_FILE=MAPPINGS/MKDUPS/Mx-AB50-2.sorted.log REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false	PN:MarkDuplicates
@PG	ID:samtools.2	PN:samtools	PP:samtools.1	VN:1.19.2	CL:samtools view -H Mx-AB50-2.sorted.mkdups.bam
